Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-01-04,144.70416653668696,145.78798930459803,143.03266881925126,143.71241760253906,28400000,144.00701141357422,,0,10000.0
2022-01-05,143.7328164404052,143.81193646128006,137.03285410456272,137.1194305419922,54618000,140.41592407226562,141.71115112304688,-1,10000.0
2022-01-06,136.34662727318383,139.27412860315894,135.90871848698256,137.09205627441406,37348000,137.10574340820312,139.30796813964844,-1,10000.0
2022-01-07,137.48816060615565,137.78972784408742,135.1204826896513,136.3650360107422,29760000,136.72854614257812,136.8588409423828,-1,10000.0
2022-01-10,134.43527149606194,138.1589694503338,132.53087842354833,138.00967407226562,44408000,137.1873550415039,137.15558878580728,1,10000.0
2022-01-11,137.35034411747029,139.54883297337483,136.0420998146872,139.07110595703125,28730000,138.54039001464844,137.81527201334634,1,10076.909962428417
2022-01-12,140.4783702161075,141.9294404967946,140.02504742905134,140.75753784179688,26108000,139.91432189941406,139.2794392903646,1,10199.106605243658
2022-01-13,140.86651857043935,142.1702980929826,137.75041975538085,137.92758178710938,31436000,139.34255981445312,139.2520751953125,1,9994.051700671847
2022-01-14,136.42675564025197,140.07233622287117,136.34664851003265,138.81683349609375,29662000,138.37220764160156,139.16731770833334,-1,10058.485713356982
2022-01-18,135.52705085012096,136.47899680734477,134.79405929684148,135.35089111328125,34872000,137.0838623046875,137.36510213216147,-1,10058.485713356982
2022-01-19,135.87388991456638,137.30306172956688,134.37306968151069,134.4735870361328,28648000,134.91223907470703,136.2137705485026,-1,10058.485713356982
2022-01-20,135.60169102059876,136.97115074107518,132.3318170208066,132.67318725585938,29908000,133.5733871459961,134.16588846842447,-1,10058.485713356982
2022-01-21,131.96259868346377,134.22377601264574,129.46752373899022,129.73126220703125,55652000,131.2022247314453,132.2926788330078,-1,10058.485713356982
2022-01-24,125.37856914011596,130.5787136535352,123.90760490884028,130.18161010742188,76622000,129.95643615722656,130.86201985677084,-1,10058.485713356982
2022-01-25,128.12744363968903,128.7833046294374,125.89859753096928,126.33102416992188,46960000,128.25631713867188,128.74796549479166,-1,10058.485713356982
2022-01-26,130.49511541961544,132.3671620019992,126.53703372214112,128.6180877685547,49130000,127.47455596923828,128.3769073486328,-1,10058.485713356982
2022-01-27,130.6792312241268,132.02131030726912,128.31900956615908,128.39117431640625,31950000,128.50463104248047,127.78009541829427,1,10058.485713356982
2022-01-28,129.04205751284695,132.72197391207828,127.87364760924652,132.71649169921875,34362000,130.5538330078125,129.90858459472656,1,10397.34189511865
2022-01-31,133.5236351765011,134.82840181492318,131.58042613665086,134.65969848632812,39986000,133.68809509277344,131.92245483398438,1,10549.577574948711
2022-02-01,136.93979546512767,137.13735254168026,133.72914748544642,136.9890594482422,68644000,135.82437896728516,134.78841654459634,1,10732.065538637895
2022-02-02,150.5303275907362,150.82541035596324,144.83008666091592,147.29579162597656,123200000,142.14242553710938,139.64818318684897,1,11539.520715468463
2022-02-03,145.0122286925093,148.96283923393528,141.98668471446516,142.40916442871094,71518000,144.85247802734375,142.23133850097656,1,11156.690118958239
2022-02-04,142.76195915753863,144.18564871656986,139.84639407354533,142.61117553710938,57998000,142.51016998291016,144.10537719726562,-1,11172.51617443739
2022-02-07,143.56363789927013,143.56363789927013,138.23908788884378,138.53866577148438,54974000,140.57492065429688,141.18633524576822,-1,11172.51617443739
2022-02-08,138.36499262195844,139.33385604729077,136.36207147851567,138.7357177734375,54284000,138.63719177246094,139.96185302734375,-1,11172.51617443739
2022-02-09,140.2927701568597,141.8463472422032,139.51996039462583,140.91827392578125,40144000,139.82699584960938,139.39755249023438,1,11172.51617443739
2022-02-10,139.03877453098843,140.81129088948327,137.30057895120314,137.96041870117188,39330000,139.43934631347656,139.20480346679688,1,10938.00659368566
2022-02-11,137.94053165428735,138.4943718586001,132.7652616913773,133.64356994628906,39958000,135.80199432373047,137.5074208577474,-1,10595.75103524808
2022-02-14,132.62243215848918,135.65145321102975,132.62243215848918,134.88113403320312,34302000,134.2623519897461,135.4950408935547,-1,10595.75103524808
2022-02-15,136.91592448402298,137.45137423583503,135.17525340849045,135.95851135253906,26680000,135.4198226928711,134.8277384440104,1,10595.75103524808
2022-02-16,135.99631295565902,137.42896248282813,134.28200525127366,137.08262634277344,25022000,136.52056884765625,135.97409057617188,1,10683.357485576364
2022-02-17,135.59471046784896,136.4610670268482,131.84812723815682,131.90834045410156,38950000,134.4954833984375,134.98315938313803,-1,10280.106195781033
2022-02-18,132.83193274174764,133.43207557532537,129.5770018418038,129.7825164794922,45620000,130.84542846679688,132.92449442545572,-1,10280.106195781033
2022-02-22,129.22018986412897,131.55154234178266,127.61337018854968,129.19581604003906,44990000,129.48916625976562,130.2955576578776,-1,10280.106195781033
2022-02-23,131.02209177354695,131.42267296291416,126.92069803114178,126.9809112548828,32786000,128.08836364746094,128.65308125813803,-1,10280.106195781033
2022-02-24,124.35895204602602,132.36716679103367,124.35895204602602,132.05963134765625,54456000,129.52027130126953,129.41211954752603,1,10280.106195781033
