Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-01-04,325.1156931532872,325.4749833768508,316.6584013250783,319.4645690917969,32674300,322.2513122558594,,0,10000.0
2022-01-05,316.4059615017749,316.6098902048438,306.8126302270797,307.2010192871094,40054300,313.3327941894531,317.2345479329427,-1,10000.0
2022-01-06,304.0646975850097,309.45369542016715,302.4528549493808,304.7735290527344,39646100,305.9872741699219,310.4797058105469,-1,10000.0
2022-01-07,305.035749490981,307.3175762839826,301.0935421942167,304.928955078125,32720000,304.8512420654297,305.63450113932294,-1,10000.0
2022-01-10,300.5109328094982,305.58920845555434,295.850204337967,305.1522521972656,44289500,305.0406036376953,304.9515787760417,1,10000.0
2022-01-11,304.2880584070521,307.42432897382355,300.899321615518,305.8416442871094,29386800,305.4969482421875,305.3076171875,1,10022.591741823295
2022-01-12,310.3955694582875,314.0270530188489,307.88068590041127,309.0361633300781,34372200,307.43890380859375,306.6766866048177,1,10127.277813119392
2022-01-13,311.1723248836896,311.5704332628309,295.1801616510571,295.9569396972656,45366000,302.4965515136719,303.61158243815106,-1,9698.66476705354
2022-01-14,295.42293023044414,301.8023248577446,294.93743650779754,301.2003173828125,39846400,298.57862854003906,302.06447347005206,-1,9698.66476705354
2022-01-18,295.2481695047707,300.8119087883123,292.9857520873315,293.8693542480469,42333200,297.5348358154297,297.0088704427083,1,9698.66476705354
2022-01-19,297.4037769741022,304.80269716461635,293.9179353193775,294.5296325683594,45933900,294.1994934082031,296.53310139973956,-1,9720.456144715394
2022-01-20,300.10313176155984,302.60826662386137,292.4032075358108,292.849853515625,35380700,293.6897430419922,293.74961344401044,-1,9720.456144715394
2022-01-21,293.9082172607986,295.2870029567207,287.0336089676001,287.4414367675781,57984400,290.14564514160156,291.6069742838542,-1,9720.456144715394
2022-01-24,283.72254434338123,288.4900666398452,268.0410733422131,287.77154541015625,85731500,287.6064910888672,289.3542785644531,-1,9720.456144715394
2022-01-25,283.0622692025946,286.4315970589494,276.8965221990427,280.12017822265625,72848600,283.94586181640625,285.1110534667969,-1,9720.456144715394
2022-01-26,299.05439039333135,299.5496034339811,284.5284276453755,288.1016540527344,90428900,284.1109161376953,285.3311258951823,-1,9720.456144715394
2022-01-27,293.8790300162024,298.3843958364904,289.28624925954864,291.1408386230469,53481300,289.6212463378906,286.4542236328125,1,9720.456144715394
2022-01-28,291.5195616158824,299.53020777157457,285.90725555512125,299.31658935546875,49743700,295.2287139892578,292.85302734375,1,9993.423780655768
2022-01-31,299.98659920210355,303.31707920676604,297.4814348645573,301.95770263671875,46444500,300.63714599609375,297.4717102050781,1,10081.603872274094
2022-02-01,301.40421686637296,301.61783528992044,296.2774043334184,299.8020935058594,40950400,300.87989807128906,300.3587951660156,1,10009.633536127621
2022-02-02,300.64685370133134,305.97756540493566,299.91861310216416,304.36572265625,36636000,302.0839080810547,302.0418395996094,1,10162.00156950597
2022-02-03,300.51084392088086,302.2003819386154,291.2573363241968,292.5099182128906,43730000,298.4378204345703,298.892578125,-1,9766.166249057476
2022-02-04,291.5001649800668,299.84094450421514,291.2671374496543,297.0639343261719,35096500,294.78692626953125,297.9798583984375,-1,9766.166249057476
2022-02-07,297.2872757560172,298.908808395224,291.1991647600581,292.2187194824219,28533300,294.6413269042969,293.9308573404948,1,9766.166249057476
2022-02-08,292.50994168533265,296.6948948289947,291.24766997242665,295.7239074707031,32421200,293.9713134765625,295.00218709309894,-1,9883.3122302882
2022-02-09,300.87994088497845,302.8801730901601,298.47191045740766,302.1810607910156,31284700,298.9524841308594,296.70789591471356,1,9883.3122302882
2022-02-10,295.21908176083,300.1516857901449,291.97598669358683,293.60723876953125,45386200,297.89414978027344,297.1707356770833,1,9602.891743896917
2022-02-11,294.39361178158106,295.46170362889825,285.6838554051045,286.4800720214844,39175600,290.0436553955078,294.08945719401044,-1,9369.786419215465
2022-02-14,285.24701978585097,288.1502928923247,282.8972463615049,286.4413452148437,36359500,286.46070861816406,288.84288533528644,-1,9369.786419215465
2022-02-15,291.3059785446445,292.07303735866185,288.40270567819266,291.75262451171875,27058300,289.09698486328125,288.2246805826823,1,9369.786419215465
2022-02-16,290.3125590659392,292.7450469485756,285.7492094226368,291.4120483398437,29982100,291.58233642578125,289.86867268880206,1,9358.848639323052
2022-02-17,288.3568443041073,288.7849645691947,282.1686090616829,282.87890625,32461600,287.1454772949219,288.6811930338542,-1,9084.802368101105
2022-02-18,285.13624134337505,285.92436510715385,278.5782629704892,280.1545104980469,34264000,281.51670837402344,284.8151550292969,-1,9084.802368101105
2022-02-22,277.30364703724825,283.667044304482,276.8171494108671,279.9501953125,41736100,280.05235290527344,280.9945373535156,-1,9084.802368101105
2022-02-23,282.34380420312885,283.8227762471997,272.53602342235735,272.701416015625,37811200,276.3258056640625,277.60204060872394,-1,9084.802368101105
2022-02-24,265.1509514973748,287.1892885046201,264.1876659850067,286.6346740722656,56989700,279.6680450439453,279.76209513346356,-1,9084.802368101105
2022-02-25,287.169836388477,289.5925850932438,283.7740627265268,289.2812194824219,32546700,287.95794677734375,282.8724365234375,1,9084.802368101105
2022-02-28,286.3622231310244,291.0618067098429,285.0876017580265,290.72125244140625,34627500,290.00123596191406,288.87904866536456,1,9130.026233166844
2022-03-01,288.3957801007612,291.86938019669464,284.26055037516176,286.9849548339844,31217800,288.8531036376953,288.9958089192708,-1,9012.688766833673
2022-03-02,287.3838515564128,293.3288677421849,285.76870563477496,292.0834350585937,31873000,289.53419494628906,289.9298807779948,-1,9012.688766833673
2022-03-03,294.71051892315563,294.9440282601711,286.1092155593134,287.9287414550781,27314500,290.00608825683594,288.99904378255206,1,9012.688766833673
2022-03-04,286.3427705257272,287.67576922113585,279.41504933646394,282.0323791503906,32356500,284.9805603027344,287.3481852213542,-1,8828.121995068966
