Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-01-04,49.68437141606928,50.02753297029807,48.83110408382401,49.28556060791016,45681400,49.318023681640625,,0,10000.0
2022-01-05,50.259404943574296,52.095788064135945,49.92551999820246,49.96261596679688,59109300,49.62408828735352,49.53288777669271,1,10000.0
2022-01-06,50.64893875943675,50.70458447701535,49.54525152074919,50.09245681762695,35757900,50.027536392211914,49.78021113077799,1,10025.987600592483
2022-01-07,50.25939671082524,50.44489067542718,49.29483446330076,49.56379699707031,30717200,49.82812690734863,49.87295659383138,-1,9920.176523584832
2022-01-10,50.05536131117066,51.29816639321096,49.44323364616595,51.20541763305664,49260800,50.38460731506348,50.28722381591797,1,9920.176523584832
2022-01-11,51.47437991723928,52.01231207227358,50.76023043797126,51.85464096069336,39795200,51.530029296875,50.87461853027344,1,10045.952472909923
2022-01-12,52.06796396585903,52.19780869786309,50.834435473816846,51.69697952270508,29136800,51.77581024169922,51.585679372151695,1,10015.408257705703
2022-01-13,51.93811747115421,52.13288456255021,50.79733424411607,50.95500183105469,29605400,51.32599067687988,51.50220743815104,-1,9871.662731978713
2022-01-14,50.871532992305845,51.724803959778015,50.57474401353388,51.65988159179688,30151500,51.30744171142578,51.43728764851888,-1,9871.662731978713
2022-01-18,51.29816088630402,51.6134995609699,50.71385614306956,50.78805160522461,35313800,51.22396659851074,51.13431167602539,1,9871.662731978713
2022-01-19,50.66749026527295,50.87153046679681,49.67510150339549,49.73074722290039,30595100,50.2593994140625,50.726226806640625,-1,9666.154705238934
2022-01-20,49.95333488998406,50.1666517118867,48.17259777540078,48.26534652709961,28582600,48.998046875,49.5947151184082,-1,9666.154705238934
2022-01-21,48.30244602777915,49.27628492359662,48.18187441957223,48.26534652709961,46372400,48.26534652709961,48.75381342569987,-1,9666.154705238934
2022-01-24,47.74596234989827,48.348816830433535,46.262017758123285,48.1725959777832,64198400,48.218971252441406,48.234429677327476,-1,9666.154705238934
2022-01-25,47.310061987159045,47.87581708689515,46.60518904293285,47.30078887939453,44095400,47.73669242858887,47.91291046142578,-1,9666.154705238934
2022-01-26,47.42135973949704,48.89603151040661,47.068921504096274,47.94073867797852,54895400,47.62076377868652,47.804707845052086,-1,9666.154705238934
2022-01-27,46.35476470718482,46.42896370855836,44.31433816345296,44.564754486083984,89642800,46.25274658203125,46.60209401448568,-1,9666.154705238934
2022-01-28,44.24942509927652,44.70388523312492,42.941697498452505,44.267974853515625,61945400,44.416364669799805,45.591156005859375,-1,9666.154705238934
2022-01-31,44.2216041343062,45.32528802385895,43.87844251116862,45.27891540527344,51828400,44.77344512939453,44.70388158162435,1,9666.154705238934
2022-02-01,45.24181159324788,45.47367820213169,44.85227738856484,45.39948272705078,35386100,45.33919906616211,44.98212432861328,1,9691.893448631194
2022-02-02,44.750251526553136,45.98378347412771,44.60185705161216,45.91885757446289,37962700,45.659170150756836,45.53241856892904,1,9802.769726920107
2022-02-03,45.67771581089341,46.08579971399993,44.75024950001232,44.77807235717773,42145800,45.34846496582031,45.36547088623047,-1,9559.234600315822
2022-02-04,44.72668183848054,45.08180483587133,44.044474215173935,44.86685943603516,32431500,44.822465896606445,45.18792978922526,-1,9559.234600315822
2022-02-07,44.9790042687875,45.474304846959285,44.82013205232649,45.02573013305664,27558500,44.9462947845459,44.890220642089844,1,9559.234600315822
2022-02-08,44.838820039083416,45.73596940542432,44.76405937436569,45.61448287963867,28051200,45.320106506347656,45.16902414957682,1,9684.23036628178
2022-02-09,46.100441077019845,46.69854067273571,45.63317532224748,46.6424674987793,35217300,46.128475189208984,45.76089350382487,1,9902.477713095308
2022-02-10,45.96025889762095,46.66115751411787,45.56775381860623,45.66120910644531,32762700,46.151838302612305,45.97271982828776,1,9694.150626602095
2022-02-11,45.745311318481725,45.89483619522735,44.390240117687775,44.5117301940918,37208200,45.086469650268555,45.60513559977213,-1,9450.109307142493
2022-02-14,44.78274889229425,45.025729084764606,44.0257806398751,44.46501159667969,28456900,44.48837089538574,44.87931696573893,-1,9450.109307142493
2022-02-15,44.57715592053723,45.287398334299496,44.10054283074843,45.26870727539063,35837900,44.866859436035156,44.74848302205404,1,9450.109307142493
2022-02-16,44.91358390582791,45.31543272468327,44.483696718594615,45.072452545166016,26022900,45.17057991027832,44.93539047241211,1,9409.139976134567
2022-02-17,44.72668059371241,45.10049107507641,44.27810587710263,44.455665588378906,32030600,44.76405906677246,44.93227513631185,-1,9280.382065611539
2022-02-18,43.16601008482041,43.18470114321391,41.59599682931479,42.09130096435547,76520100,43.27348327636719,43.87313969930013,-1,9280.382065611539
2022-02-22,41.76420974731445,42.43707354064195,40.97920317675059,41.76420974731445,57093300,41.92775535583496,42.770392100016274,-1,9280.382065611539
2022-02-23,42.2127904506228,42.71743836769913,41.633381859695405,41.726837158203125,38176700,41.74552345275879,41.860782623291016,-1,9280.382065611539
2022-02-24,41.02593360177672,43.72672902200007,40.77360967312874,43.66131210327149,72740100,42.694074630737305,42.38411966959635,1,9280.382065611539
2022-02-25,43.85756105849812,44.66125867268031,43.22207938984032,44.58649444580078,39266300,44.12390327453613,43.32488123575846,1,9477.0331785859
2022-02-28,43.922983262756105,44.68929885576098,43.7828021029568,44.57715606689453,41946100,44.581825256347656,44.2749875386556,1,9475.048269751313
2022-03-01,44.42762837785608,44.764060288341724,43.19404708271185,43.754764556884766,53853000,44.16596031188965,44.306138356526695,-1,9300.245748875308
2022-03-02,44.40893154990956,45.78269381757854,44.37154943916723,45.67054748535156,46936500,44.712656021118164,44.66748936971029,1,9300.245748875308
2022-03-03,45.02572422527481,45.371499853443495,44.50238534524438,44.792091369628906,36389900,45.231319427490234,44.73913447062174,1,9121.358956277878
2022-03-04,44.268755108939104,45.10983486501204,44.268755108939104,44.92292785644531,38310700,44.85750961303711,45.12852223714193,-1,9148.002198965134
2022-03-07,44.86685376318743,45.36215786046292,44.4836960077222,44.5584602355957,43813700,44.74069404602051,44.757826487223305,-1,9148.002198965134
2022-03-08,44.56780705096684,45.53037694387971,43.8201825455162,44.3902473449707,44813900,44.4743537902832,44.623878479003906,-1,9148.002198965134
2022-03-09,45.24066352260741,45.28738937816149,43.82017541104689,44.5117301940918,36076500,44.45098876953125,44.486812591552734,-1,9148.002198965134
2022-03-10,44.19399958053524,44.212690640059584,43.137977889618085,43.60524368286133,36456000,44.05848693847656,44.169073740641274,-1,9148.002198965134
2022-03-11,44.06316748724697,44.18465403157072,42.773512848242,42.829586029052734,27082100,43.21741485595703,43.64885330200195,-1,9148.002198965134
2022-03-14,42.894991646094894,42.96975230250623,41.3997393033711,41.493194580078125,35993900,42.16139030456543,42.6426747639974,-1,9148.002198965134
2022-03-15,41.5866481939184,41.9604621879354,41.18479939808418,41.8763542175293,34448900,41.68477439880371,42.06637827555338,-1,9148.002198965134
2022-03-16,42.334277028541415,43.57720565795898,42.30624222380277,43.57720565795898,38885500,42.72677993774414,42.31558481852213,1,9148.002198965134
2022-03-17,43.28749839657241,44.19399508401845,42.736124674046685,44.05381393432617,28555000,43.81550979614258,43.169124603271484,1,9248.054818090697
2022-03-18,43.75476526528211,44.48369870649941,43.31553431226408,44.34352111816406,46237100,44.19866752624512,43.99151357014974,1,9308.87197960415
2022-03-21,44.352865805324726,44.754714650660034,43.98839907698687,44.28744888305664,32910900,44.31548500061035,44.22826131184896,1,9297.100941917846
2022-03-22,44.390244796513215,45.29674146261697,44.29679307555504,45.22197723388672,27923300,44.75471305847168,44.61764907836914,1,9493.283034810427
2022-03-23,45.28739628252652,46.33407414427312,44.913585816149705,45.10983657836914,37126400,45.16590690612793,44.873087565104164,1,9469.741760243163
2022-03-24,45.47430418467416,48.26855503271474,45.40888726265911,48.240516662597656,51677900,46.6751766204834,46.19077682495117,1,10126.953893567459
2022-03-25,47.371398712671365,48.5769451590064,47.14711315727927,48.436767578125,33239800,48.33864212036133,47.26237360636393,1,10168.152125066848
2022-03-28,47.99753680464878,48.19378755749413,47.2499123426513,48.13771438598633,22932400,48.287240982055664,48.27166620890299,1,10105.372990471455
2022-03-29,48.59563654119318,48.866651523646645,47.92277274060656,48.82926940917969,27303700,48.48349189758301,48.467917124430336,1,10250.548588065625
2022-03-30,48.82926947175604,49.07224608619334,47.86670319520356,48.06295394897461,24623300,48.44611167907715,48.34331258138021,1,10089.678807426611
2022-03-31,47.84801504997144,47.90408466020147,46.26865448266796,46.31538391113281,43698300,47.18916893005371,47.73586908976237,-1,9722.817869290655
2022-04-01,46.56769933881854,46.63311624876438,44.23137094088354,44.96030426025391,46598600,45.63784408569336,46.446214040120445,-1,9722.817869290655
