Ticker,Beta,Market Cap (USD),Company Type
MSTR,1.77,100B,Software & Bitcoin Treasury
COIN,0.7,64B,Crypto Exchange
MARA,1,5.5B,Bitcoin Mining
RIOT,1,3.5B,Bitcoin Mining
TSLA,0.2,900B,EV Manufacturing
SQ,0.5,40B,Fintech (Payments)
HUT,1,1.9B,Bitcoin Mining (Canada)
GLXY,1,3.6B,Crypto Investment Bank
